Logging to Training/Logs/FINALPPO_200K/PPO_8
----------------------------
| time/              |     |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0322     |
|    n_updates            | 13180       |
|    policy_gradient_loss | -0.0244     |
|    std                  | 0.91        |
|    value_loss           | 0.0498      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 148        |
|    ep_rew_mean          | -20.05184  |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 47         |
|    time_elapsed         | 27         |
|    total_timesteps      | 6016       |
| train/                  |            |
|    approx_kl            | 0.03108951 |
|    clip_fraction        | 0.195      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.803      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00546    |
|    n_updates            | 13190      |
|    policy_gradient_loss | -0.0249    |
|    std                  | 0.91       |
|    value_loss           | 0.201      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 143         |
|    ep_rew_mean          | -19.498344  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 48          |
|    time_elapsed         | 28          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.041511312 |
|    clip_fraction        | 0.316       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.997       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0721     |
|    n_updates            | 13200       |
|    policy_gradient_loss | -0.0466     |
|    std                  | 0.909       |
|    value_loss           | 0.00823     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 139        |
|    ep_rew_mean          | -19.132875 |
| time/                   |            |
|    fps                  | 217        |
|    iterations           | 49         |
|    time_elapsed         | 28         |
|    total_timesteps      | 6272       |
| train/                  |            |
|    approx_kl            | 0.02591224 |
|    clip_fraction        | 0.299      |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.775      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00809    |
|    n_updates            | 13210      |
|    policy_gradient_loss | -0.0404    |
|    std                  | 0.909      |
|    value_loss           | 0.223      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -19.000198  |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 50          |
|    time_elapsed         | 29          |
|    total_timesteps      | 6400        |
| train/                  |             |
|    approx_kl            | 0.015842237 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.254       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 13220       |
|    policy_gradient_loss | -0.0218     |
|    std                  | 0.909       |
|    value_loss           | 0.432       |
-----------------------------------------
